Customer ID,Age,Annual Income,Family Size,Spending Score,Work Experience,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital Status_Alone,Marital Status_Divorced,Marital Status_Married,Marital Status_Single,Marital Status_Together,Marital Status_Widow,Marital Status_YOLO,Age Group_Young Adult,Age Group_Adult,Age Group_Middle Age,Age Group_Senior,Cluster,PCA1,PCA2
5524,67,0.08720708720708721,0,0.512640099626401,0.2385905794447293,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,2,-66.44493355806571,11.812751892309095
2174,70,0.06951606951606952,2,0.512640099626401,0.2385905794447293,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,1,-3416.444793536874,14.823016954042771
4141,59,0.10741960741960742,0,0.512640099626401,0.2385905794447293,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,2,-1449.444939642155,3.7869605179569277
6182,40,0.03996903996903997,1,0.512640099626401,0.2385905794447293,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,2,591.5550326105613,-15.207685101902719
5324,43,0.08743958743958745,1,0.512640099626401,0.2385905794447293,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,2,-266.4449598637093,-12.2062091723352
7446,57,0.09376959376959378,1,0.512640099626401,0.2385905794447293,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,2,1855.555030366797,1.7959454243322597
965,53,0.08345258345258345,1,0.512640099626401,0.2385905794447293,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,1,-4625.444814595428,-2.201255936531723
6177,39,0.05018105018105019,1,0.512640099626401,0.2385905794447293,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,2,586.5550295918001,-16.203794325599482
4855,50,0.04552654552654553,1,0.512640099626401,0.2385905794447293,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,2,-735.4449576901206,-5.193581442984126
5899,74,0.008472008472008472,2,0.512640099626401,0.2385905794447293,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,2,308.55507353465055,18.83086351936811
1994,41,0.11554661790140597,1,0.512640099626401,0.2385905794447293,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,1,-3596.444823839735,-14.210204554259576
387,48,0.01125001125001125,0,0.512640099626401,0.2385905794447293,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,1,-5203.444816989852,-7.2046707151108365
2125,65,0.09454959454959455,0,0.512640099626401,0.2385905794447293,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,1,-3465.444798840824,9.821728968058267
8180,72,0.08903108903108904,2,0.512640099626401,0.2385905794447293,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,0,2589.555278483279,16.823929990316145
2569,37,0.025984525984525986,0,0.512640099626401,0.2385905794447293,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,1,-3021.4448325135827,-18.21320126499169
2114,78,0.1242001242001242,0,0.512640099626401,0.2385905794447293,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,1,-3476.444785409703,22.81217532558246
9736,44,0.06277506277506278,2,0.512640099626401,0.2385905794447293,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,0,4145.555243226781,-11.217260437211259
4939,78,0.05664005664005664,0,0.512640099626401,0.2385905794447293,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,2,-651.4449129197883,22.810141847280974
6565,75,0.1154926154926155,1,0.512640099626401,0.2385905794447293,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,2,974.5550673008265,19.817730975760142
